"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\model\bid.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 12, 20, 113
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\model\bidInvitation.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\model\client.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 11, 62
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\model\confirmationOTP.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\model\quote.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\model\transporter.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 11, 62
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\package-lock.json", "JSON", 0, 2634, 0, 0, 0, 0, 0, 0, 1, 2635
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\queue\OTPDeliveryConfirmation.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\queue\OTPLogin.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\queue\bidWinnerNotifications.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
